provinsi,provinsi_abb
Aceh,Aceh
Sumatera Utara,Sumut
Sumatera Barat,Sumbar
Riau,Riau
Jambi,Jambi
Sumatera Selatan,Sumsel
Bengkulu,Bengkulu
Lampung,Lampung
Kep. Bangka Belitung,Babel
Kep. Riau,Kep. Riau
DKI Jakarta,Jakarta
Jawa Barat,Jabar
Jawa Tengah,Jateng
DI Yogyakarta,Yogyakarta
Jawa Timur,Jatim
Banten,Banten
Bali,Bali
Nusa Tenggara Barat,NTB
Nusa Tenggara Timur,NTT
Kalimantan Barat,Kalbar
Kalimantan Tengah,Kalteng
Kalimantan Selatan,Kalsel
Kalimantan Timur,Kaltim
Kalimantan Utara,Kalut
Sulawesi Utara,Sulut
Sulawesi Tengah,Sulteng
Sulawesi Selatan,Sulsel
Sulawesi Tenggara,Sulawesi Tenggara
Gorontalo,Gorontalo
Sulawesi Barat,Sulbar
Maluku,Maluku
Maluku Utara,Maluku Utara
Papua Barat,Papua Barat
Papua,Papua
Indonesia,Indonesia
